month,business_type,market_condition,price,marketing_spend,employees,demand,revenue,operational_cost,profit,customer_churn_rate,risk_flag
2020-01,Retail,Competitive,1238.43,27163.3,73,2298,2845912.14,1975936.94,869975.2,0.19,1
2020-01,Manufacturing,Competitive,1583.4,6962.17,48,1814,2872287.6,1588648.45,1283639.15,0.13,0
2020-01,E-Commerce,Growth,866.29,5695.55,28,3591,3110847.39,1358949.77,1751897.62,0.12,0
2020-01,Retail,Competitive,1964.6,8390.58,36,1416,2781873.6,1382952.66,1398920.94,0.09,0
2020-01,E-Commerce,Competitive,1885.08,36321.34,50,1048,1975563.84,1378990.49,596573.35,0.16,0
2020-01,E-Commerce,Stable,657.49,18288.08,21,4414,2902160.86,1203936.34,1698224.52,0.18,0
2020-01,Manufacturing,Recession,1195.08,18342.96,30,2020,2414061.6,1192561.44,1221500.16,0.16,0
2020-01,E-Commerce,Stable,1330.21,13742.33,12,1044,1388739.24,610364.1,778375.14,0.11,0
2020-01,E-Commerce,Growth,808.39,21901.23,70,2491,2013699.49,1676011.08,337688.41,0.17,0
2020-01,Manufacturing,Competitive,1176.76,17894.36,62,1340,1576858.4,1420951.88,155906.52,0.03,0
2020-01,E-Commerce,Recession,848.34,10717.72,12,3069,2603555.46,971784.36,1631771.1,0.08,0
2020-01,Retail,Competitive,1715.64,13747.1,51,1280,2196019.2,1437552.86,758466.34,0.17,0
2020-01,Retail,Growth,1486.27,6848.04,67,1698,2523686.46,1768953.98,754732.48,0.04,0
2020-01,Retail,Stable,345.57,24274.15,16,7997,2763523.29,1093331.14,1670192.15,0.03,0
2020-01,E-Commerce,Stable,650.44,29715.2,52,2341,1522680.04,1266519.21,256160.83,0.23,1
2020-01,Retail,Growth,1528.21,29945.93,26,1632,2494038.72,1168157.55,1325881.17,0.12,0
2020-01,E-Commerce,Stable,1564.12,5647.71,73,1580,2471309.6,1842040.59,629269.01,0.03,0
2020-01,E-Commerce,Growth,515.59,5772.25,52,1805,930639.95,1064964.23,-134324.28,0.13,1
2020-01,Retail,Competitive,1369.59,7162.65,73,1913,2620025.67,1888170.35,731855.32,0.03,0
2020-01,Manufacturing,Stable,1880.19,27546.79,73,834,1568078.46,1592970.33,-24891.87,0.16,1
2020-01,Manufacturing,Growth,1760.96,33638.16,28,1197,2107869.12,1085998.9,1021870.22,0.15,0
2020-01,Retail,Competitive,1182.11,47365.92,71,3218,3804029.98,2253574.91,1550455.07,0.23,1
2020-01,Retail,Stable,381.4,5819.98,39,4583,1747956.2,1115206.84,632749.36,0.04,0
2020-01,Retail,Recession,241.89,41651.08,11,15448,3736716.72,1327666.1,2409050.62,0.18,0
2020-01,E-Commerce,Competitive,1779.45,38078.2,25,1738,3092684.1,1340883.43,1751800.67,0.08,0
2020-01,E-Commerce,Competitive,1223.34,30916.61,40,2305,2819798.7,1476856.22,1342942.48,0.08,0
2020-01,Manufacturing,Growth,1745.14,24304.73,17,538,938885.32,560970.33,377914.99,0.19,1
2020-01,Retail,Stable,1161.79,27345.25,17,1749,2031970.71,891936.46,1140034.25,0.04,0
2020-01,Retail,Growth,364.32,19369.11,56,6225,2267892.0,1539736.71,728155.29,0.13,0
2020-01,Retail,Stable,1284.39,29916.64,57,2577,3309873.03,1877878.55,1431994.48,0.2,1
2020-01,Manufacturing,Stable,1089.96,7590.14,9,2538,2766318.48,972485.68,1793832.8,0.22,1
2020-01,Manufacturing,Recession,1943.57,35961.35,62,826,1605388.82,1447578.0,157810.82,0.22,1
2020-01,E-Commerce,Stable,1461.74,8274.34,54,1324,1935343.76,1398877.47,536466.29,0.18,0
2020-01,Retail,Competitive,619.81,31158.74,69,6200,3842822.0,2219005.34,1623816.66,0.21,1
2020-01,Manufacturing,Growth,1265.4,20759.82,35,1038,1313485.2,939805.38,373679.82,0.11,0
2020-01,Manufacturing,Competitive,1831.44,10003.89,71,326,597049.44,1254118.72,-657069.28,0.02,1
2020-01,E-Commerce,Stable,413.87,10288.68,43,5990,2479081.3,1399013.07,1080068.23,0.18,0
2020-01,E-Commerce,Competitive,1059.89,8730.11,37,2119,2245906.91,1237502.18,1008404.73,0.12,0
2020-01,E-Commerce,Stable,1945.78,6942.2,25,196,381372.88,496354.06,-114981.18,0.14,1
2020-01,Manufacturing,Growth,655.38,36293.5,61,607,397815.66,1070638.2,-672822.54,0.16,1
2020-01,E-Commerce,Stable,1992.5,36361.63,7,1033,2058252.5,758837.38,1299415.12,0.19,1
2020-01,Manufacturing,Stable,1910.74,45061.87,28,1164,2224101.36,1132292.28,1091809.08,0.1,0
2020-01,E-Commerce,Stable,1034.66,20900.85,54,1493,1544747.38,1294325.06,250422.32,0.04,0
2020-01,Retail,Stable,1015.83,6454.22,77,2154,2188097.82,1817883.57,370214.25,0.11,0
2020-01,Retail,Competitive,492.71,45991.72,10,5819,2867079.49,1056115.57,1810963.92,0.19,1
2020-01,Manufacturing,Growth,348.95,44449.77,9,10282,3587903.9,1255820.94,2332082.96,0.11,0
2020-01,E-Commerce,Recession,1977.1,11768.76,30,183,361809.3,570311.55,-208502.25,0.11,1
2020-01,Manufacturing,Recession,1708.99,26091.19,5,743,1269779.57,482025.06,787754.51,0.03,0
2020-01,E-Commerce,Competitive,1161.82,38745.98,7,2737,3179901.34,1097716.38,2082184.96,0.2,1
2020-01,Retail,Recession,880.13,15848.82,77,263,231474.19,1240291.08,-1008816.89,0.24,1
2020-01,Retail,Stable,1780.8,39064.96,38,2297,4090497.6,1836214.24,2254283.36,0.08,0
2020-01,Manufacturing,Competitive,1136.55,39754.33,54,902,1025168.1,1157304.76,-132136.66,0.21,1
2020-01,Retail,Stable,1625.27,31548.02,51,1647,2676819.69,1599593.93,1077225.76,0.19,1
2020-01,Retail,Competitive,1649.08,45641.8,68,1524,2513197.92,1819601.18,693596.74,0.25,1
2020-01,E-Commerce,Competitive,906.04,24686.37,67,3938,3567985.52,2100082.03,1467903.49,0.15,0
2020-01,Retail,Recession,913.78,32993.9,55,523,477906.94,1001365.98,-523459.04,0.24,1
2020-01,E-Commerce,Growth,1085.81,16621.0,73,1385,1503846.85,1562775.06,-58928.21,0.16,1
2020-01,E-Commerce,Stable,1340.12,15806.55,27,2257,3024650.84,1328201.8,1696449.04,0.15,0
2020-01,Manufacturing,Stable,1353.57,13184.6,60,635,859516.95,1171039.68,-311522.73,0.23,1
2020-01,Manufacturing,Competitive,1951.6,32087.09,55,1526,2978141.6,1750529.57,1227612.03,0.1,0
2020-01,E-Commerce,Stable,359.66,10428.61,16,2732,982591.12,545205.95,437385.17,0.23,1
2020-01,Retail,Competitive,1442.71,6769.05,51,1841,2656029.11,1568577.78,1087451.33,0.18,0
2020-01,E-Commerce,Stable,879.11,5116.78,40,3300,2901063.0,1475435.68,1425627.32,0.04,0
2020-01,Manufacturing,Stable,576.83,21671.24,18,2417,1394198.11,709930.67,684267.44,0.19,1
2020-01,E-Commerce,Competitive,1545.45,6650.74,60,1355,2094084.75,1534876.16,559208.59,0.18,0
2020-01,Manufacturing,Recession,1549.31,6371.25,22,1242,1924243.02,913644.16,1010598.86,0.14,0
2020-01,Manufacturing,Stable,1527.33,13202.77,43,2069,3160045.77,1606216.5,1553829.27,0.07,0
2020-01,E-Commerce,Competitive,619.79,20431.71,29,645,399764.55,575361.07,-175596.52,0.17,1
2020-01,E-Commerce,Stable,1166.79,31407.85,12,3360,3920414.4,1387532.17,2532882.23,0.15,0
2020-01,E-Commerce,Stable,853.55,34066.28,63,1300,1109615.0,1311950.78,-202335.78,0.25,1
2020-01,Retail,Growth,213.56,15139.98,74,7796,1664913.76,1624614.11,40299.65,0.06,0
2020-01,Manufacturing,Stable,1650.56,7504.41,13,1117,1843675.52,755607.07,1088068.45,0.03,0
2020-01,Manufacturing,Competitive,1968.28,10041.75,70,633,1245921.24,1433818.12,-187896.88,0.24,1
2020-01,Manufacturing,Recession,664.23,12689.94,55,2283,1516437.09,1292621.07,223816.02,0.23,1
2020-01,Manufacturing,Competitive,1057.92,42736.22,9,1146,1212376.32,541449.12,670927.2,0.24,1
2020-01,Manufacturing,Stable,1525.24,28842.8,5,319,486551.56,249808.27,236743.29,0.2,1
2020-01,E-Commerce,Competitive,477.85,26651.3,7,5306,2535472.1,892292.93,1643179.17,0.1,0
2020-01,E-Commerce,Competitive,1188.06,14077.87,44,806,957576.36,961350.78,-3774.42,0.05,1
2020-01,Retail,Recession,1272.15,26220.93,39,2416,3073514.4,1533275.25,1540239.15,0.23,1
2020-01,E-Commerce,Recession,935.33,46982.21,79,3960,3703906.8,2343154.25,1360752.55,0.07,0
2020-01,Manufacturing,Stable,1534.02,30851.29,68,2511,3851924.22,2206428.56,1645495.66,0.05,0
2020-01,Retail,Recession,1639.17,42130.97,41,180,295050.6,745646.15,-450595.55,0.07,1
2020-01,E-Commerce,Competitive,845.89,44474.02,22,1349,1141105.61,716805.7,424299.91,0.12,0
2020-01,E-Commerce,Growth,1323.38,29290.15,67,472,624635.36,1221680.76,-597045.4,0.15,1
2020-01,Retail,Growth,891.0,29459.88,55,3376,3008016.0,1756864.68,1251151.32,0.05,0
2020-01,E-Commerce,Stable,1514.99,36217.29,19,2539,3846559.61,1475185.17,2371374.44,0.14,0
2020-01,Manufacturing,Competitive,1995.85,38858.14,31,1461,2915936.85,1378639.2,1537297.65,0.05,0
2020-01,E-Commerce,Recession,1089.17,38958.59,42,3271,3562675.07,1737761.11,1824913.96,0.11,0
2020-01,Retail,Stable,915.12,40878.29,9,3940,3605572.8,1257550.13,2348022.67,0.07,0
2020-01,Retail,Recession,1354.07,36227.68,40,1796,2431909.72,1365800.6,1066109.12,0.08,0
2020-01,Retail,Recession,1926.33,20413.59,10,1013,1951372.29,755825.28,1195547.01,0.12,0
2020-01,E-Commerce,Growth,476.03,31380.34,66,7357,3502152.71,2072026.15,1430126.56,0.16,0
2020-01,Manufacturing,Recession,1267.33,9599.57,72,2172,2752640.76,1915391.8,837248.96,0.23,1
2020-01,Manufacturing,Stable,1237.32,32302.18,55,2463,3047519.16,1771557.93,1275961.23,0.04,0
2020-01,Retail,Growth,1011.51,10095.71,25,3197,3233797.47,1355234.95,1878562.52,0.21,1
2020-01,E-Commerce,Recession,797.86,19014.99,44,2267,1808748.62,1221639.58,587109.04,0.11,0
2020-01,Retail,Stable,1645.14,5208.44,45,862,1418110.68,1105641.64,312469.04,0.12,0
2020-01,E-Commerce,Growth,823.42,20612.89,38,1306,1075386.52,913228.85,162157.67,0.12,0
2020-01,Manufacturing,Stable,1842.95,16170.19,29,1642,3026123.9,1359007.36,1667116.54,0.12,0
2020-01,Retail,Stable,1245.06,33451.89,32,2512,3127590.72,1451729.11,1675861.61,0.06,0
2020-01,Retail,Stable,946.32,8840.74,65,3411,3227897.52,1952210.0,1275687.52,0.14,0
2020-01,Retail,Stable,915.17,24205.5,60,2231,2041744.27,1536728.78,505015.49,0.1,0
2020-01,E-Commerce,Stable,265.79,26243.01,44,10848,2883289.92,1551229.99,1332059.93,0.04,0
2020-01,E-Commerce,Recession,1149.77,29050.52,42,2348,2699659.96,1468948.51,1230711.45,0.06,0
2020-01,Retail,Stable,335.91,38896.08,14,2158,724893.78,466364.21,258529.57,0.11,0
2020-01,Manufacturing,Growth,1711.62,44014.72,12,1568,2683820.16,1029160.77,1654659.39,0.15,0
2020-01,Manufacturing,Stable,1409.41,5886.97,58,1292,1820957.72,1422174.29,398783.43,0.2,1
2020-01,Manufacturing,Growth,1202.1,37436.59,39,445,534934.5,782916.94,-247982.44,0.25,1
2020-01,E-Commerce,Recession,914.93,35063.83,18,2462,2252557.66,980831.13,1271726.53,0.09,0
2020-01,E-Commerce,Stable,353.92,14354.88,23,6552,2318883.84,1055020.03,1263863.81,0.15,0
2020-01,E-Commerce,Growth,1671.4,20381.78,6,1161,1940495.4,692530.4,1247965.0,0.16,0
2020-01,Retail,Stable,1592.9,21324.11,57,1582,2519967.8,1632314.45,887653.35,0.07,0
2020-01,E-Commerce,Recession,452.2,44081.06,63,1446,653881.2,1185245.42,-531364.22,0.06,1
2020-01,E-Commerce,Stable,683.62,29373.54,29,5609,3834424.58,1614700.91,2219723.67,0.07,0
2020-01,E-Commerce,Recession,1971.92,28656.06,41,227,447625.84,777943.81,-330317.97,0.21,1
2020-01,Retail,Recession,1096.56,8022.89,41,2513,2755655.28,1449719.47,1305935.81,0.13,0
2020-01,Manufacturing,Stable,452.03,16865.77,35,3852,1741219.56,1064231.64,676987.92,0.19,1
2020-01,E-Commerce,Competitive,1397.07,12891.71,49,1650,2305165.5,1439441.36,865724.14,0.11,0
2020-01,E-Commerce,Competitive,284.54,12482.75,69,7257,2064906.78,1666954.78,397952.0,0.04,0
2020-01,Manufacturing,Stable,900.73,17991.22,40,3238,2916563.74,1492960.34,1423603.4,0.19,1
2020-01,Manufacturing,Growth,913.97,47933.91,26,543,496285.71,586819.62,-90533.91,0.13,1
2020-01,E-Commerce,Stable,672.08,31778.51,66,1819,1222513.52,1388532.57,-166019.05,0.06,1
2020-01,Retail,Recession,391.88,8381.2,21,7412,2904614.56,1194765.57,1709848.99,0.18,0
2020-01,E-Commerce,Competitive,336.68,8499.44,48,1295,436000.6,859299.62,-423299.02,0.16,1
2020-01,Manufacturing,Stable,1653.37,48294.45,21,769,1271441.53,744726.91,526714.62,0.18,0
2020-01,Retail,Stable,1175.42,44282.56,12,1865,2192158.3,881930.05,1310228.25,0.19,1
2020-01,Retail,Competitive,1728.55,16235.06,16,790,1365554.5,665901.41,699653.09,0.24,1
2020-01,Manufacturing,Stable,1258.87,49970.91,30,2573,3239072.51,1471692.66,1767379.85,0.13,0
2020-01,Manufacturing,Stable,1455.36,18380.71,52,1506,2191772.16,1455912.36,735859.8,0.24,1
2020-01,E-Commerce,Recession,298.79,25481.47,63,5997,1791843.63,1508034.56,283809.07,0.03,0
2020-01,Manufacturing,Stable,1209.22,26647.78,7,1893,2289053.46,818363.82,1470689.64,0.14,0
2020-01,E-Commerce,Recession,317.64,19188.07,8,11046,3508651.44,1191783.5,2316867.94,0.17,0
2020-01,Retail,Competitive,1794.76,32713.84,70,606,1087624.56,1409001.21,-321376.65,0.13,1
2020-01,E-Commerce,Stable,1774.46,28802.17,36,1686,2991739.56,1466324.04,1525415.52,0.02,0
2020-01,Retail,Recession,923.48,26594.4,61,1017,939179.16,1223348.15,-284168.99,0.22,1
2020-01,Manufacturing,Stable,365.06,20136.67,9,4449,1624151.94,642382.25,981769.69,0.07,0
2020-01,Manufacturing,Competitive,734.61,43376.98,22,1530,1123953.3,710562.97,413390.33,0.03,0
2020-01,Retail,Growth,281.18,9926.04,72,9875,2776652.5,1922921.79,853730.71,0.24,1
2020-01,Retail,Recession,360.94,23791.13,60,9891,3570057.54,1994808.39,1575249.15,0.24,1
2020-01,Manufacturing,Growth,1980.53,38450.88,8,2003,3967001.59,1348551.36,2618450.23,0.16,0
2020-01,Retail,Stable,284.5,22284.08,45,7324,2083678.0,1322387.48,761290.52,0.24,1
2020-01,E-Commerce,Recession,1333.6,14734.58,13,2102,2803227.2,1050702.74,1752524.46,0.16,0
2020-01,Retail,Stable,913.24,39120.73,66,3863,3527846.12,2087474.57,1440371.55,0.06,0
2020-01,Manufacturing,Stable,602.87,29163.85,77,2909,1753748.83,1710288.5,43460.33,0.15,0
2020-01,E-Commerce,Competitive,904.11,17283.17,33,3419,3091152.09,1439628.8,1651523.29,0.24,1
2020-01,E-Commerce,Recession,1379.44,29788.58,63,2538,3501018.72,2025094.2,1475924.52,0.11,0
2020-01,Manufacturing,Stable,1452.29,7195.26,22,816,1185068.64,692715.85,492352.79,0.24,1
2020-01,Retail,Growth,1984.66,7768.27,49,350,694631.0,951157.57,-256526.57,0.14,1
2020-01,Manufacturing,Recession,826.06,35510.73,37,4544,3753616.64,1716595.72,2037020.92,0.14,0
2020-01,Retail,Stable,488.72,20030.4,49,7210,3523671.2,1812131.76,1711539.44,0.23,1
2020-01,Manufacturing,Competitive,540.6,44673.67,49,4950,2675970.0,1582464.67,1093505.33,0.13,0
2020-01,Manufacturing,Recession,431.97,20080.35,34,1006,434561.82,660448.9,-225887.08,0.21,1
2020-01,E-Commerce,Recession,665.64,13690.98,17,3993,2657900.52,1066061.14,1591839.38,0.1,0
2020-01,Retail,Competitive,667.65,33530.26,39,4428,2956354.2,1505436.52,1450917.68,0.04,0
2020-01,E-Commerce,Stable,978.03,42805.47,32,1959,1915960.77,1097593.7,818367.07,0.06,0
2020-01,Retail,Stable,1887.01,35954.86,72,1195,2254976.95,1792447.94,462529.01,0.06,0
2020-01,E-Commerce,Recession,1052.43,7606.42,54,2848,2997320.64,1716802.61,1280518.03,0.24,1
2020-01,Retail,Competitive,1365.63,31747.81,11,246,335944.98,297531.3,38413.68,0.03,0
2020-01,E-Commerce,Stable,1673.81,16362.89,30,1163,1946641.03,1050355.2,896285.83,0.25,1
2020-01,Retail,Stable,1737.58,28716.08,33,379,658542.82,721278.93,-62736.11,0.09,1
2020-01,E-Commerce,Recession,614.1,10910.08,71,3424,2102678.4,1706713.6,395964.8,0.24,1
2020-01,Retail,Growth,955.51,33733.67,10,3862,3690179.62,1290787.56,2399392.06,0.09,0
2020-01,E-Commerce,Stable,583.59,6401.03,29,3248,1895500.32,1010051.13,885449.19,0.1,0
2020-01,Manufacturing,Competitive,1177.82,12166.06,21,2727,3211915.14,1290740.6,1921174.54,0.06,0
2020-01,Manufacturing,Recession,1569.84,33179.91,68,1343,2108295.12,1685668.45,422626.67,0.23,1
2020-01,E-Commerce,Competitive,1633.77,26668.51,75,2164,3535478.28,2212311.99,1323166.29,0.16,0
2020-01,Retail,Stable,1084.87,7889.4,6,2917,3164565.79,1047259.14,2117306.65,0.12,0
2020-01,Retail,Stable,1036.28,35620.55,42,287,297412.36,754844.26,-457431.9,0.18,1
2020-01,Retail,Growth,1834.07,37592.84,55,1816,3330671.12,1861794.18,1468876.94,0.05,0
2020-01,Retail,Competitive,233.06,26706.04,24,8394,1956305.64,973597.73,982707.91,0.15,0
2020-01,E-Commerce,Stable,1131.88,8953.99,34,1324,1498609.12,968536.73,530072.39,0.04,0
2020-01,E-Commerce,Stable,1959.44,14038.66,19,1272,2492407.68,1046760.96,1445646.72,0.03,0
2020-01,Retail,Growth,423.6,45329.96,13,5990,2537364.0,1001539.16,1535824.84,0.16,0
2020-01,Manufacturing,Competitive,1476.31,44193.61,54,2814,4154336.34,2100494.51,2053841.83,0.2,1
2020-01,Manufacturing,Recession,344.21,45266.75,8,12129,4174923.09,1417743.68,2757179.41,0.2,1
2020-01,Manufacturing,Competitive,1147.52,37921.53,79,2588,2969781.76,2113856.06,855925.7,0.03,0
2020-01,Manufacturing,Competitive,1062.7,32708.39,23,2120,2252924.0,1053585.59,1199338.41,0.1,0
2020-01,Retail,Recession,1385.67,27418.81,74,1863,2581503.21,1911869.77,669633.44,0.17,0
2020-01,Retail,Growth,1954.63,34264.66,78,1173,2292780.99,1892098.96,400682.03,0.18,0
2020-01,Retail,Competitive,566.44,42820.36,53,4846,2744968.24,1661310.83,1083657.41,0.24,1
2020-01,E-Commerce,Recession,965.89,20567.07,24,2633,2543188.37,1143523.58,1399664.79,0.03,0
2020-01,Retail,Competitive,1258.51,6322.75,70,733,922487.83,1333069.1,-410581.27,0.23,1
2020-01,E-Commerce,Competitive,1985.84,17773.45,16,1613,3203159.92,1218721.43,1984438.49,0.13,0
2020-01,Retail,Recession,436.82,37212.12,46,6527,2851124.14,1582549.36,1268574.78,0.11,0
2020-01,E-Commerce,Stable,1737.89,27152.5,66,702,1219998.78,1383152.13,-163153.35,0.12,1
2020-01,Manufacturing,Stable,1267.31,12358.57,32,292,370054.52,603374.93,-233320.41,0.22,1
2020-01,Retail,Stable,1592.25,10889.31,49,1417,2256218.25,1422754.78,833463.47,0.12,0
2020-01,Manufacturing,Growth,995.64,19890.02,14,2271,2261098.44,908219.55,1352878.89,0.21,1
2020-01,Retail,Competitive,1258.19,47686.25,61,1584,1992972.96,1560578.14,432394.82,0.1,0
2020-01,Retail,Competitive,842.12,29008.04,53,781,657695.72,1021316.76,-363621.04,0.22,1
2020-01,E-Commerce,Stable,401.46,17138.73,6,6232,2501898.72,857708.35,1644190.37,0.14,0
2020-01,E-Commerce,Stable,419.8,25348.96,63,5589,2346262.2,1674227.62,672034.58,0.04,0
2020-01,Manufacturing,Stable,467.02,49398.36,47,1439,672041.78,956010.89,-283969.11,0.24,1
2020-01,E-Commerce,Growth,1244.2,16440.11,47,2435,3029627.0,1630328.21,1399298.79,0.1,0
2020-01,E-Commerce,Stable,253.95,18856.85,54,7909,2008490.55,1431404.02,577086.53,0.19,1
2020-01,E-Commerce,Stable,1515.49,12027.37,9,273,413728.77,271146.0,142582.77,0.08,0
2020-01,Retail,Recession,1900.31,35746.16,21,574,1090777.94,677979.54,412798.4,0.15,0
2020-01,Manufacturing,Growth,1441.15,35443.1,23,2650,3819047.5,1526157.35,2292890.15,0.17,0
2020-01,Retail,Competitive,1238.93,20685.82,70,2160,2676088.8,1873512.46,802576.34,0.16,0
2020-01,Manufacturing,Growth,932.43,44183.91,77,2127,1983278.61,1794167.49,189111.12,0.09,0
2020-01,Manufacturing,Growth,927.45,19716.49,23,1280,1187136.0,720857.29,466278.71,0.2,1
2020-01,Manufacturing,Growth,876.21,18359.12,75,2226,1950443.46,1728492.16,221951.3,0.09,0
2020-01,E-Commerce,Stable,1451.84,22485.11,37,681,988703.04,874096.02,114607.02,0.15,0
2020-01,Manufacturing,Stable,331.75,32155.19,78,8453,2804282.75,2043440.02,760842.73,0.13,0
2020-01,Manufacturing,Competitive,1912.66,43122.53,32,1089,2082886.74,1147988.55,934898.19,0.21,1
2020-01,Retail,Stable,917.88,31107.76,48,2519,2312139.72,1444749.68,867390.04,0.11,0
2020-01,Manufacturing,Recession,1492.62,47998.57,25,1003,1497097.86,872127.93,624969.93,0.12,0
2020-01,Manufacturing,Stable,1918.39,34461.19,55,592,1135686.88,1200167.25,-64480.37,0.23,1
2020-01,E-Commerce,Stable,499.4,32780.83,56,3153,1574608.2,1345163.29,229444.91,0.09,0
2020-01,Manufacturing,Competitive,1245.68,9033.19,34,176,219239.68,584805.09,-365565.41,0.08,1
2020-01,E-Commerce,Stable,526.07,35650.3,78,5992,3152211.44,2151313.73,1000897.71,0.14,0
2020-01,Manufacturing,Stable,1628.13,13335.28,60,187,304460.31,1004673.37,-700213.06,0.12,1
2020-01,E-Commerce,Recession,1190.41,6953.56,51,1778,2116548.98,1406918.25,709630.73,0.02,0
2020-01,E-Commerce,Recession,1791.57,15263.59,13,140,250819.8,285509.53,-34689.73,0.06,1
2020-01,Retail,Recession,1820.04,20903.96,30,1272,2315090.88,1165431.22,1149659.66,0.2,1
2020-01,E-Commerce,Recession,1732.11,35214.11,22,1583,2741930.13,1187793.15,1554136.98,0.16,0
2020-01,Retail,Competitive,475.37,15585.6,37,3549,1687088.13,1076712.04,610376.09,0.14,0
2020-01,E-Commerce,Stable,1355.55,32319.23,36,1462,1981814.1,1166863.46,814950.64,0.08,0
2020-01,Retail,Competitive,1094.18,49450.35,39,988,1081049.84,958765.3,122284.54,0.18,0
2020-01,Manufacturing,Competitive,1002.42,37603.26,79,3014,3021293.88,2128991.42,892302.46,0.1,0
2020-01,E-Commerce,Stable,1503.81,31027.41,43,1254,1885777.74,1241760.73,644017.01,0.04,0
2020-01,Retail,Growth,545.36,19551.72,74,2297,1252691.92,1505359.3,-252667.38,0.16,1
2020-01,Retail,Competitive,321.7,41016.04,31,2270,730259.0,725093.74,5165.26,0.14,0
2020-01,E-Commerce,Competitive,1424.24,15387.31,62,2239,3188873.36,1902049.32,1286824.04,0.06,0
2020-01,E-Commerce,Growth,1391.31,30100.25,34,402,559306.62,707892.24,-148585.62,0.03,1
2020-01,E-Commerce,Growth,515.55,36050.22,59,1620,835191.0,1171607.52,-336416.52,0.11,1
